tick,scfa,lps,permeability,cellEpit
78,228,300,93.7275742138156,100
79,224,300,95.60212569809191,100
80,220,300,97.51416821205375,100
81,216,300,99.46445157629482,100
82,212,300,101.45374060782072,100
83,208,300,103.48281541997713,100
84,204,300,105.55247172837667,100
85,200,300,107.6635211629442,100
86,196,300,109.8167915862031,100
87,192,300,112.01312741792715,100
88,188,300,114.2533899662857,100
89,184,300,116.53845776561141,100
90,180,300,118.86922692092364,100
91,176,300,121.2466114593421,100
92,172,300,123.67154368852894,100
93,168,300,126.14497456229952,100
94,164,300,128.66787405354552,100
95,160,300,131.24123153461642,100
96,156,300,133.86605616530875,100
97,152,300,136.54337728861492,100
98,148,300,139.27424483438722,100
99,144,300,142.05972973107495,100
100,140,300,144.90092432569645,100
101,136,300,147.79894281221038,100
102,132,300,150.75492166845459,100
103,128,300,153.7700201018237,100
104,124,300,156.84542050386017,100
105,120,300,159.98232891393738,100
106,116,300,163.18197549221614,100
107,112,297,166.44561500206046,100
108,108,294,169.77452730210166,100
109,104,291,173.1700178481437,100
110,100,288,176.63341820510655,100
111,96,285,180.1660865692087,100
112,92,282,183.76940830059286,100
113,88,279,187.4447964666047,100
114,84,276,191.1936923959368,100
115,80,273,195.01756624385555,100
116,76,270,198.91791756873266,100
117,72,267,202.8962759201073,100
118,68,262,206.95420143850947,100
119,64,257,211.09328546727966,100
120,60,252,215.31515117662525,100
121,56,247,219.62145420015776,100
122,52,242,224.01388328416093,100
123,48,237,228.49416094984414,100
124,45,232,233.06404416884104,100
125,43,227,237.72532505221787,100
126,41,222,242.47983155326222,100
127,40,217,247.32942818432747,100
128,40,212,252.27601674801403,100
129,40,207,257.3215370829743,100
130,40,202,262.4679678246338,100
131,40,194,267.71732718112645,100
132,40,186,273.07167372474896,100
133,40,178,278.53310719924394,100
134,40,170,284.1037693432288,100
135,40,162,289.7858447300934,100
136,40,154,295.58156162469527,100
137,39,146,301.4931928571892,100
138,39,138,307.52305671433294,100
139,39,130,313.6735178486196,100
140,39,122,319.946988205592,100
