tick,nadh,alfasinucleina,ros,artificialAgent,electron,oxygen
340,500,258,2,10,37,398
341,500,258,2,10,38,398
342,500,258,2,10,38,398
343,500,258,2,10,39,398
344,500,258,2,10,40,398
345,500,259,2,10,41,398
346,500,268,2,10,42,398
347,500,268,2,10,43,398
348,500,268,2,10,43,398
349,500,268,2,10,43,398
350,500,268,2,10,44,398
351,500,269,2,10,44,398
352,500,270,2,10,46,398
353,500,278,2,10,46,398
354,500,278,2,10,48,398
355,500,278,2,10,48,398
356,500,278,2,10,48,398
357,500,278,2,10,48,398
358,500,280,2,10,48,398
359,500,288,2,10,48,398
360,500,288,2,10,48,398
361,500,288,2,10,49,398
362,500,288,3,10,48,397
363,500,297,3,10,49,397
364,500,297,3,10,49,397
365,500,297,3,10,50,397
366,500,297,3,10,50,397
367,500,297,4,10,50,396
368,500,297,5,10,49,395
369,500,297,5,10,50,395
370,500,303,5,10,51,395
371,500,303,5,10,52,395
372,500,303,5,10,54,395
373,500,303,5,10,54,395
374,500,303,5,10,55,395
375,500,313,5,10,55,395
376,500,313,6,10,55,394
377,500,313,6,10,56,394
378,500,313,6,10,58,394
379,500,316,6,10,60,394
380,500,316,6,10,61,394
381,500,316,6,10,63,394
382,500,322,7,10,63,393
383,500,322,7,10,65,393
384,500,322,8,10,68,392
385,500,322,8,10,71,392
386,500,322,8,10,75,392
387,500,322,9,10,78,391
388,500,328,9,10,79,391
389,500,328,10,10,79,390
390,500,328,10,10,79,390
391,500,328,10,10,83,390
392,500,331,10,10,84,390
393,500,341,10,10,87,390
394,500,341,10,10,88,390
395,500,341,10,10,90,390
396,500,341,10,10,93,390
397,500,341,10,10,95,390
398,500,341,10,10,95,390
399,500,349,10,10,96,390
400,500,349,10,10,98,390
401,500,349,10,10,99,390
402,500,349,10,10,102,390
403,500,349,10,10,104,390
404,500,352,10,10,107,390
405,500,361,10,10,109,390
406,500,361,10,10,114,390
407,500,361,10,10,116,390
408,500,361,10,10,117,390
409,500,361,11,10,121,389
410,500,361,11,10,124,389
411,500,370,12,10,125,388
412,500,370,12,10,128,388
413,500,370,12,10,128,388
414,500,370,12,10,132,388
415,500,370,12,10,135,388
416,500,370,13,10,139,387
417,500,370,13,10,141,387
418,500,379,13,10,145,387
419,500,379,13,10,147,387
420,500,379,13,10,148,387
421,500,379,13,10,152,387
422,500,385,13,10,155,387
423,500,387,13,10,156,387
424,500,389,13,10,158,387
425,500,397,13,10,160,387
426,500,397,13,10,163,387
427,500,407,13,10,164,387
428,500,407,13,10,165,387
429,500,407,13,10,168,387
430,500,407,14,10,169,386
431,500,407,14,10,170,386
432,500,413,15,10,170,385
433,500,413,15,10,172,385
434,500,422,15,10,172,385
435,500,422,15,10,172,385
436,500,422,15,10,174,385
437,500,422,15,10,174,385
438,500,430,15,10,175,385
439,500,430,15,10,176,385
440,500,430,15,10,176,385
441,500,430,15,10,177,385
442,500,438,15,10,178,385
443,500,438,16,10,178,384
444,500,438,17,10,179,383
445,500,438,18,10,180,382
446,500,438,18,10,182,382
447,500,438,18,10,182,382
448,500,438,18,10,183,382
449,500,448,18,10,185,382
450,500,448,18,10,187,382
451,500,448,18,10,188,382
452,500,448,18,10,189,382
453,500,448,18,10,192,382
454,500,448,18,10,192,382
455,500,448,18,10,193,382
456,500,448,18,10,194,382
457,500,448,18,10,194,382
458,500,448,18,10,195,382
459,500,448,18,10,197,382
460,500,450,18,10,197,382
461,500,455,18,10,197,382
462,500,455,18,10,199,382
463,500,455,18,10,202,382
464,500,463,18,10,204,382
465,500,463,19,10,207,381
466,500,463,19,10,207,381
467,500,463,19,10,210,381
468,500,471,19,10,212,381
469,500,471,19,10,214,381
470,500,471,19,10,216,381
471,500,471,19,10,216,381
472,500,471,19,10,217,381
473,500,471,20,10,220,380
474,500,479,21,10,223,379
475,500,479,21,10,227,379
476,500,479,21,10,227,379
477,500,479,21,10,227,379
478,500,479,21,10,227,379
479,500,479,21,10,229,379
480,500,480,21,10,230,379
481,500,486,21,10,230,379
482,500,486,22,10,231,378
483,500,496,22,10,234,378
484,500,496,22,10,236,378
485,500,496,22,10,239,378
486,500,496,23,10,240,377
487,500,496,24,10,240,376
488,500,496,24,10,242,376
489,500,505,24,10,243,376
490,500,505,24,10,246,376
491,500,505,24,10,247,376
492,500,505,24,10,247,376
493,500,505,24,10,247,376
494,500,505,24,10,252,376
495,500,505,25,10,253,375
496,500,507,25,10,254,375
497,500,509,25,10,258,375
498,500,511,26,10,259,374
499,500,511,26,10,262,374
500,500,518,26,10,265,374
501,500,518,26,10,267,374
502,500,518,26,10,271,374
503,500,518,26,10,271,374
504,500,523,26,10,273,374
505,500,523,26,10,275,374
506,500,523,26,10,279,374
507,500,523,26,10,280,374
508,500,533,28,10,282,372
509,500,533,28,10,285,372
510,500,533,28,10,287,372
511,500,533,28,10,288,372
512,500,533,28,10,292,372
513,500,533,28,10,294,372
514,500,533,28,10,297,372
515,500,536,29,10,297,371
516,500,536,29,10,298,371
517,500,539,29,10,299,371
518,500,549,29,10,300,371
519,500,549,30,10,303,370
520,500,549,30,10,306,370
521,500,549,30,10,309,370
522,500,549,30,10,312,370
523,500,549,31,10,318,369
524,500,549,31,10,323,369
525,500,549,31,10,325,369
526,500,558,32,10,328,368
527,500,558,32,10,333,368
528,500,558,32,10,336,368
529,500,558,34,10,336,366
530,500,562,34,10,345,366
531,500,562,35,10,348,365
532,500,562,35,10,350,365
533,500,562,35,10,350,365
534,500,565,35,10,353,365
535,500,565,36,10,354,364
536,500,565,36,10,354,364
537,500,568,37,10,356,363
538,500,569,37,10,361,363
539,500,571,37,10,367,363
540,500,577,37,10,371,363
541,500,577,38,10,372,362
542,500,586,39,10,375,361
543,500,586,39,10,379,361
544,500,586,39,10,380,361
545,500,586,41,10,380,359
546,500,586,41,10,381,359
547,500,586,41,10,383,359
548,500,586,41,10,385,359
549,500,586,43,10,384,357
550,500,586,44,10,384,356
551,500,586,45,10,385,355
552,500,586,46,10,388,354
553,500,589,47,10,392,353
554,500,589,47,10,393,353
555,500,590,47,10,395,353
556,500,593,47,10,395,353
557,500,596,47,10,395,353
558,500,603,47,10,398,353
559,500,603,47,10,400,353
560,500,605,49,10,402,351
561,500,608,49,10,407,351
562,500,618,49,10,411,351
563,500,624,49,10,412,351
564,500,624,50,10,412,350
565,500,629,51,10,411,349
566,500,629,53,10,411,347
567,500,630,53,10,415,347
568,500,636,54,10,418,346
569,500,644,54,10,418,346
570,500,644,54,10,424,346
571,500,644,54,10,426,346
572,500,644,54,10,429,346
573,500,653,54,10,431,346
574,500,653,55,10,433,345
575,500,653,56,10,434,344
576,500,657,57,10,436,343
577,500,657,57,10,440,343
578,500,662,57,10,440,343
579,500,666,57,10,440,343
580,500,669,58,10,443,342
581,500,669,58,10,448,342
582,500,669,58,10,452,342
583,500,679,58,10,455,342
584,500,679,59,10,455,341
585,500,679,60,10,456,340
586,500,679,60,10,458,340
587,500,679,61,10,460,339
588,500,679,62,10,464,338
589,500,679,63,10,468,337
590,500,679,64,10,472,336
591,500,687,64,10,475,336
592,500,687,65,10,478,335
593,500,687,65,10,481,335
594,500,697,65,10,483,335
595,500,697,65,10,483,335
596,500,697,65,10,486,335
597,500,697,65,10,487,335
598,500,697,65,10,492,335
599,500,697,65,10,497,335
600,500,697,65,10,501,335
601,500,701,67,10,503,333
602,500,701,67,10,503,333
603,500,704,67,10,506,333
604,500,710,68,10,505,332
605,500,710,68,10,508,332
606,500,719,68,10,510,332
607,500,719,69,10,511,331
608,500,728,69,10,513,331
609,500,728,69,10,514,331
610,500,728,69,10,517,331
611,500,729,70,10,517,330
612,500,734,70,10,522,330
613,500,734,70,10,527,330
614,500,734,71,10,530,329
615,500,740,72,10,532,328
616,500,740,74,10,532,326
617,500,740,74,10,535,326
618,500,745,74,10,537,326
619,500,745,74,10,541,326
620,500,750,75,10,544,325
621,500,758,75,10,546,325
622,500,767,75,10,549,325
623,500,767,75,10,552,325
624,500,767,75,10,559,325
625,500,773,77,10,560,323
626,500,773,77,10,565,323
627,500,773,77,10,567,323
628,500,774,77,10,571,323
629,500,775,78,10,577,322
630,500,785,80,10,578,320
631,500,791,80,10,583,320
632,500,791,80,10,585,320
633,500,800,80,10,589,320
634,500,800,80,10,593,320
635,500,800,81,10,597,319
636,500,801,83,10,596,317
