tick,scfa,lps,permeability,cellEpit,probioticArtificialAgent
162,40,0,325.9866773149317,100,0
163,40,0,325.9866773149317,100,0
164,40,0,325.9866773149317,100,0
165,40,0,325.9866773149317,100,0
166,40,0,325.9866773149317,100,0
167,40,0,325.9866773149317,100,0
168,40,0,325.9866773149317,100,0
169,40,0,325.9866773149317,100,0
170,40,0,325.9866773149317,100,0
171,40,0,325.9866773149317,100,0
172,40,0,325.9866773149317,100,0
173,40,0,325.9866773149317,100,0
174,40,0,325.9866773149317,100,0
175,39,0,325.9866773149317,100,0
176,39,0,325.9866773149317,100,0
177,39,0,325.9866773149317,100,0
178,39,0,325.9866773149317,100,0
179,39,0,325.9866773149317,100,0
180,39,0,325.9866773149317,100,0
181,39,0,325.9866773149317,100,0
182,39,0,325.9866773149317,100,0
183,39,0,325.9866773149317,100,0
184,39,0,325.9866773149317,100,0
185,39,0,325.9866773149317,100,0
186,39,0,325.9866773149317,100,0
187,39,0,325.9866773149317,100,0
188,39,0,325.9866773149317,100,0
189,39,0,325.9866773149317,100,0
190,39,0,325.9866773149317,100,0
191,39,0,325.9866773149317,100,0
192,39,0,325.9866773149317,100,0
193,39,0,325.9866773149317,100,0
194,39,0,325.9866773149317,100,0
195,39,0,325.9866773149317,100,0
196,39,0,325.9866773149317,100,0
197,39,0,325.9866773149317,100,0
198,39,0,325.9866773149317,100,0
199,39,0,325.9866773149317,100,0
200,39,0,325.9866773149317,100,0
201,39,0,325.9866773149317,100,0
202,39,0,325.9866773149317,100,0
203,39,0,325.9866773149317,100,0
204,39,0,325.9866773149317,100,0
205,39,0,325.9866773149317,100,0
206,39,0,325.9866773149317,100,0
207,39,0,325.9866773149317,100,0
208,39,0,325.9866773149317,100,0
209,39,0,325.9866773149317,100,0
210,39,0,325.9866773149317,100,0
211,39,0,325.9866773149317,100,0
212,39,0,325.9866773149317,100,0
213,39,0,325.9866773149317,100,0
214,39,0,325.9866773149317,100,0
215,39,0,325.9866773149317,100,0
216,39,0,325.9866773149317,100,0
217,39,0,325.9866773149317,100,0
218,39,0,325.9866773149317,100,0
219,39,0,325.9866773149317,100,0
220,39,0,325.9866773149317,100,0
221,39,0,325.9866773149317,100,0
222,39,0,325.9866773149317,100,0
223,39,0,325.9866773149317,100,0
224,39,0,325.9866773149317,100,0
225,39,0,325.9866773149317,100,0
226,39,0,325.9866773149317,100,0
227,39,0,325.9866773149317,100,0
228,39,0,325.9866773149317,100,0
229,39,0,325.9866773149317,100,0
230,39,0,325.9866773149317,100,0
231,39,0,325.9866773149317,100,0
232,39,0,325.9866773149317,100,0
233,39,0,325.9866773149317,100,0
234,39,0,325.9866773149317,100,0
235,39,0,325.9866773149317,100,0
236,39,0,325.9866773149317,100,0
237,39,0,325.9866773149317,100,0
238,39,0,325.9866773149317,100,0
239,39,0,325.9866773149317,100,0
240,39,0,325.9866773149317,100,0
241,39,0,325.9866773149317,100,0
242,39,0,325.9866773149317,100,0
243,39,0,325.9866773149317,100,0
244,39,0,325.9866773149317,100,0
245,39,0,325.9866773149317,100,0
246,39,0,325.9866773149317,100,0
247,39,0,325.9866773149317,100,0
248,39,0,325.9866773149317,100,0
249,39,0,325.9866773149317,100,0
250,38,0,325.9866773149317,100,0
251,38,0,325.9866773149317,100,0
252,38,0,325.9866773149317,100,0
253,38,0,325.9866773149317,100,0
254,38,0,325.9866773149317,100,0
255,38,0,325.9866773149317,100,0
256,38,0,325.9866773149317,100,0
257,38,0,325.9866773149317,100,0
258,38,0,325.9866773149317,100,0
259,38,0,325.9866773149317,100,0
260,38,0,325.9866773149317,100,0
261,38,0,325.9866773149317,100,0
262,38,0,325.9866773149317,100,0
263,38,0,325.9866773149317,100,0
264,38,0,325.9866773149317,100,0
265,38,0,325.9866773149317,100,0
266,38,0,325.9866773149317,100,0
267,38,0,325.9866773149317,100,0
268,38,0,325.9866773149317,100,0
269,38,0,325.9866773149317,100,0
270,38,0,325.9866773149317,100,0
271,38,0,325.9866773149317,100,0
272,38,0,325.9866773149317,100,0
273,38,0,325.9866773149317,100,0
274,38,0,325.9866773149317,100,0
275,38,0,325.9866773149317,100,0
276,38,0,325.9866773149317,100,0
277,38,0,325.9866773149317,100,0
278,38,0,325.9866773149317,100,0
279,38,0,325.9866773149317,100,0
280,38,0,325.9866773149317,100,0
281,38,0,325.9866773149317,100,0
282,38,0,325.9866773149317,100,0
283,38,0,325.9866773149317,100,0
284,38,0,325.9866773149317,100,0
285,38,0,325.9866773149317,100,0
286,38,0,325.9866773149317,100,0
287,38,0,325.9866773149317,100,0
288,38,0,325.9866773149317,100,0
289,38,0,325.9866773149317,100,0
290,38,0,325.9866773149317,100,0
291,38,0,325.9866773149317,100,0
292,38,0,325.9866773149317,100,0
293,38,0,325.9866773149317,100,0
294,38,0,325.9866773149317,100,0
295,38,0,325.9866773149317,100,0
296,38,0,325.9866773149317,100,0
297,38,0,325.9866773149317,100,0
298,38,0,325.9866773149317,100,0
299,38,0,325.9866773149317,100,0
300,38,0,325.9866773149317,100,0
301,38,0,325.9866773149317,100,0
302,38,0,325.9866773149317,100,0
303,38,0,325.9866773149317,100,0
304,38,0,325.9866773149317,100,0
305,38,0,325.9866773149317,100,0
306,38,0,325.9866773149317,100,0
307,38,0,325.9866773149317,100,0
308,38,0,325.9866773149317,100,0
309,38,0,325.9866773149317,100,0
310,38,0,325.9866773149317,100,0
311,38,0,325.9866773149317,100,0
312,38,0,325.9866773149317,100,0
313,38,0,325.9866773149317,100,0
