tick,lps,tnfAlfa,alfasin
917,400,300,27
918,400,300,22
919,400,300,22
920,400,300,22
921,400,300,24
922,400,300,29
923,400,300,33
924,400,300,30
925,400,300,32
926,400,300,26
927,400,300,23
928,400,300,24
929,400,300,27
930,400,300,28
931,400,300,31
932,400,300,34
933,400,300,34
934,400,300,30
935,400,300,25
936,400,300,28
937,400,300,29
938,400,300,26
939,400,300,29
940,400,300,29
941,400,300,26
942,400,300,29
943,400,300,29
944,400,300,21
945,400,300,25
946,400,300,26
947,400,300,28
948,400,300,29
949,400,300,24
950,400,300,27
951,400,300,29
952,400,300,33
953,400,300,36
954,400,300,40
955,400,300,39
956,400,300,44
957,400,300,41
958,400,300,41
959,400,300,44
960,400,300,38
961,400,300,28
962,400,300,29
963,400,300,21
964,400,300,26
965,400,300,30
966,400,300,28
967,400,300,30
968,400,300,31
969,400,300,34
970,400,300,32
971,400,300,29
972,400,300,32
973,400,300,25
974,400,300,27
975,400,300,28
976,400,300,24
977,400,300,25
978,400,300,26
979,400,300,29
980,400,300,28
981,400,300,30
982,400,300,28
983,400,300,22
984,400,300,23
985,400,300,27
986,400,300,29
987,400,300,27
988,400,300,25
989,400,300,25
990,400,300,26
991,400,300,24
992,400,300,25
993,400,300,28
994,400,300,29
995,400,300,31
996,400,300,24
997,400,300,26
998,400,300,27
999,400,300,21
1000,400,300,22
