tick,scfa,lps_microbiota,permeability,cellEpit,lps_lumen,tnfAlfa,alfasin,nadh,alfasinucleina,ros,electron,oxygen
109,104,291,173.1700178481437,100,9,0,0,500,0,0,0,700
110,100,288,176.63341820510655,100,12,0,0,500,0,0,0,700
111,96,285,180.1660865692087,100,15,0,0,500,0,0,0,700
112,92,282,183.7694083005929,100,18,0,0,500,0,0,0,700
113,88,279,187.4447964666047,100,21,0,0,500,0,0,0,700
114,84,276,191.1936923959368,100,24,0,0,500,0,0,0,700
115,80,273,195.01756624385555,100,27,0,0,500,0,0,0,700
116,76,270,198.91791756873263,100,30,0,0,500,0,0,0,700
117,72,267,202.8962759201073,100,33,0,0,500,0,0,0,700
118,68,262,206.95420143850947,100,38,0,0,500,0,0,0,700
119,64,257,211.09328546727969,100,43,0,0,500,0,0,0,700
120,60,252,215.31515117662525,100,48,0,0,500,0,0,0,700
121,56,247,219.62145420015776,100,53,0,0,500,0,0,0,700
122,52,242,224.01388328416093,100,58,0,0,500,0,0,0,700
123,48,237,228.49416094984412,100,63,0,0,500,0,0,0,700
124,44,232,233.06404416884104,100,68,0,0,500,0,0,0,700
125,41,227,237.72532505221787,100,73,0,0,500,0,0,0,700
126,40,222,242.47983155326224,100,78,0,0,500,0,0,0,700
127,40,217,247.32942818432747,100,83,0,0,500,0,0,0,700
128,40,212,252.27601674801403,100,88,0,0,500,0,0,0,700
129,40,207,257.3215370829743,100,93,0,0,500,0,0,0,700
130,40,202,262.4679678246338,100,98,0,0,500,0,0,0,700
131,40,194,267.71732718112645,100,106,0,0,500,0,0,0,700
132,40,186,273.07167372474896,100,114,0,0,500,0,0,0,700
133,40,178,278.53310719924394,100,122,0,0,500,0,0,0,700
134,40,170,284.1037693432288,100,130,0,0,500,0,0,0,700
135,40,162,289.7858447300934,100,138,0,0,500,0,0,0,700
136,40,154,295.58156162469527,100,146,0,0,500,0,0,0,700
137,40,146,301.4931928571892,100,154,0,0,500,0,0,0,700
138,40,138,307.52305671433294,100,162,0,0,500,0,0,0,700
139,40,130,313.6735178486196,100,170,0,0,500,0,0,0,700
140,40,122,319.946988205592,100,178,0,0,500,0,0,0,700
141,40,114,326.34592796970384,100,186,53,0,500,0,0,0,700
142,40,106,326.34592796970384,100,194,99,0,500,0,0,0,700
143,40,98,326.34592796970384,100,202,165,0,500,0,0,0,700
144,40,90,326.34592796970384,100,210,223,0,500,0,0,0,700
145,40,82,326.34592796970384,100,218,282,0,500,1,0,0,700
146,40,74,326.34592796970384,100,226,300,0,500,2,0,0,700
147,40,66,326.34592796970384,100,234,298,0,500,2,0,0,700
148,40,58,326.34592796970384,100,242,300,0,500,4,0,0,700
149,40,50,326.34592796970384,100,250,300,0,500,5,0,0,700
150,40,42,326.34592796970384,100,258,299,0,500,7,0,0,700
151,40,34,326.34592796970384,100,266,299,1,500,8,0,0,700
152,40,26,326.34592796970384,100,274,300,1,500,9,0,0,700
153,40,18,326.34592796970384,100,282,301,1,500,9,0,0,700
154,40,10,326.34592796970384,100,290,301,1,500,10,0,0,700
